# Efinity GPIO Pin Assignment
# Version: 2022.1.226
# Date: 2023-04-11 23:37
#
# Copyright (C) 2017 - 2022 Efinix Inc. All rights reserved.
#
# Device: T20Q144
# Package: 144-pin QFP (final)
# Project: TrionFPGA_Firmware
# Configuration mode: active (x1)
# Timing Model: I4 (final)
Package Pin-Pad Name,Instance Name,Mode
72-GPIOB_CLKN0,ext_trig,input
71-GPIOB_CLKP0,re,input
56-GPIOB_RXN00,,
59-GPIOB_RXN02,,
60-GPIOB_RXN03,,
65-GPIOB_RXN07,,
68-GPIOB_RXN10,,
69-GPIOB_RXN12_EXTFB0,RPi_sel0,input
55-GPIOB_RXP00,diff_sel_RPi,input
58-GPIOB_RXP02,,
61-GPIOB_RXP03,,
66-GPIOB_RXP07,SPI_MISO,output
67-GPIOB_RXP10,SPI_CLK,input
70-GPIOB_RXP12_EXTFB0,RPi_sel1,input
39-GPIOB_TXN00,,
41-GPIOB_TXN02,full,output
43-GPIOB_TXN04,,
46-GPIOB_TXN06,force_trig,input
48-GPIOB_TXN09,,
54-GPIOB_TXN11,and_or_sel_RPi,input
38-GPIOB_TXP00,,
40-GPIOB_TXP02,rst,input
42-GPIOB_TXP04,,
45-GPIOB_TXP06,enable_thermal_trig,input
47-GPIOB_TXP09,,
53-GPIOB_TXP11,,
31-GPIOL_00_SS_N,,
30-GPIOL_01_CCK,,
32-GPIOL_04_CSI,,
33-GPIOL_05_CSO,,
29-GPIOL_08_CDI0,,
28-GPIOL_09_CDI1,,
20-GPIOL_12_CDI2,,
19-GPIOL_13_CDI3,int_trigger_out,output
18-GPIOL_20_CTRL0_CDI4,,
17-GPIOL_21_CTRL1_CDI5,trig_4H,input
16-GPIOL_22_CTRL2,trig_4L,input
15-GPIOL_24_CLK0,trig_5H,input
14-GPIOL_25_CLK1,trig_5L,input
11-GPIOL_31_CLK7_CDI6,trig_6H,input
10-GPIOL_32_CTRL4_CDI7,trig_6L,input
8-GPIOL_40_CDI8,trig_7H,input
7-GPIOL_41_CDI9,trig_7L,input
6-GPIOL_46,stop_data_in1,input
3-GPIOL_53_CDI10,diff_sel_SST2,output
4-GPIOL_54_CDI11,SST2_read_clk,output
144-GPIOL_64,reset_SST2,output
141-GPIOL_65,,
142-GPIOL_66_CDI12,stop_SST2,output
140-GPIOL_67_CDI13,di_ch7,input
139-GPIOL_68,,
138-GPIOL_69_CBSEL1,di_ch6,input
137-GPIOL_70_CBSEL0,,
136-GPIOL_71_NSTATUS,di_ch5,input
135-GPIOL_72_EXTFB0_CDI14,,
134-GPIOL_73_EXTFB1_CDI15,di_ch4,input
132-GPIOL_74_PLLIN0,and_or_sel_SST2,output
131-GPIOL_75_PLLIN1,ADC_clk_SST2,output
124-GPIOR_76_PLLIN0,CS_n_SST2,output
123-GPIOR_77_PLLIN1,trig_0H,input
119-GPIOR_78_EXTFB0_CDI31,trig_0L,input
118-GPIOR_79_EXTFB1_CDI30,trig_1H,input
117-GPIOR_80,trig_1L,input
116-GPIOR_81_MREFCLK,trig_2H,input
115-GPIOR_82,trig_2L,input
114-GPIOR_83,trig_3H,input
113-GPIOR_84,trig_3L,input
111-GPIOR_85,SST1_read_clk,output
112-GPIOR_86,stop_data_in0,input
110-GPIOR_87_CDI29,diff_sel_SST1,output
109-GPIOR_88_CDI28,reset_SST1,output
106-GPIOR_94_CDI27,,
105-GPIOR_95_CDI26,di_ch3,input
103-GPIOR_104_CDI25,di_ch2,input
102-GPIOR_105_CDI24,,
101-GPIOR_112_CDI23,di_ch1,input
100-GPIOR_113_CDI22,,
99-GPIOR_116_CTRL15,di_ch0,input
98-GPIOR_117_CTRL14,,
97-GPIOR_122_CLK13_CDI21,stop_SST1,output
93-GPIOR_123_CLK12_CDI20,and_or_sel_SST1,output
92-GPIOR_125_CLK10,clk,input
90-GPIOR_128_CTRL11,,
89-GPIOR_129_CTRL10,HSCLK_ctrl,output
87-GPIOR_132_CDI19,ADC_clk_SST1,output
86-GPIOR_133_CDI18,CS_n_SST1,output
84-GPIOR_135_CDI17,,
83-GPIOR_136_CDI16,,
82-GPIOR_138,,
81-GPIOR_139,,
80-GPIOR_149_CBUS2,,
79-GPIOR_150_CBUS1,,
78-GPIOR_151_CBUS0,,
77-GPIOR_154,,
76-GPIOR_155,,
75-GPIOR_157_PLLIN,,
74-GPIOR_158_TEST_N,,
